HWND	PID	Title
0x304D2	18812	Mythic � Mozilla Firefox
0x40810	10548	builder.py - Starburst - Visual Studio Code
0x1057C	2260	@CathedralInIce - Discord
0x10508	14188	Claude
0xBA086C	19744	root@MAL-mythic: /opt/mythic
0x180970	24048	Untitled - Notepad
0x29D096C	10548	main.yml - ludus_dittobytes_role - Visual Studio Code
0x10608	2872	Spotify Premium
0x604DA	5908	WireGuard
0x2F0860	6096	Roles
0x14A03E2	16708	Downloads
0x20C4A	24556	10.4.10.12 - Remote Desktop Connection
0xA10982	10764	10.4.10.13 - Remote Desktop Connection
0x16F0A92	22000	System Informer [DESKTOP-D3RLRKF\Ares]
0x60A24	11520	Settings
0x3C000DA	8596	Settings
0x6065E	9924	Calculator
0x80662	8596	Calculator
0x20358	11960	Microsoft Text Input Application
0x101C6	6096	Program Manager
